Component,Category,File,Type,Props,Emits,Slots,Variants,Accessibility,LoadingState,ErrorState,Responsive,DarkMode,DuplicateGroup,ImportedBy,ImportedByCount,USED,DeadOrUsed,Evidence
components/content-council/editor/content/SlideHtmlEditor.vue,content-council/editor/content,components/content-council/editor/content/SlideHtmlEditor.vue,vue,"defineProps({   modelValue: {     type: String,     default: ''   } })",defineEmits(['update:modelValue']),0,,none,none,error-prop-detected,none,none,,components/content-council/editor/ContentFormDrawer.vue,1,true,USED,Imported by 1 files
components/content-council/editor/content/SlideHtmlPreview.vue,content-council/editor/content,components/content-council/editor/content/SlideHtmlPreview.vue,vue,"defineProps({   jsonData: {     type: String,     default: '{}'   } })",,0,,none,none,none,none,none,,components/content-council/preview/SlideHtmlPreviewContent.vue,1,true,USED,Imported by 1 files
components/content-council/editor/ContentBlockCard.vue,content-council/editor,components/content-council/editor/ContentBlockCard.vue,vue,,,0,,none,none,none,responsive-classes-detected,none,,components/content-council/editor/ContentBlockList.vue,1,true,USED,Imported by 1 files
components/content-council/editor/ContentBlockList.vue,content-council/editor,components/content-council/editor/ContentBlockList.vue,vue,,,0,,none,none,none,none,none,,components/content-council/editor/LessonEditorCanvas.vue,1,true,USED,Imported by 1 files
components/content-council/editor/ContentDeleteDialog.vue,content-council/editor,components/content-council/editor/ContentDeleteDialog.vue,vue,,,0,,none,none,none,none,none,,pages/content-council/subjects/SubjectEditorPage.vue,1,true,USED,Imported by 1 files
components/content-council/editor/ContentFormDrawer.vue,content-council/editor,components/content-council/editor/ContentFormDrawer.vue,vue,,,0,,none,none,error-prop-detected,responsive-classes-detected,none,,pages/content-council/subjects/SubjectEditorPage.vue,1,true,USED,Imported by 1 files
components/content-council/editor/CurriculumEditorSidebar.vue,content-council/editor,components/content-council/editor/CurriculumEditorSidebar.vue,vue,,,0,,none,none,none,none,none,,pages/content-council/subjects/SubjectEditorPage.vue,1,true,USED,Imported by 1 files
components/content-council/editor/EditorChapterItem.vue,content-council/editor,components/content-council/editor/EditorChapterItem.vue,vue,,,0,,none,none,none,none,none,,components/content-council/editor/CurriculumEditorSidebar.vue,1,true,USED,Imported by 1 files
components/content-council/editor/EditorLessonItem.vue,content-council/editor,components/content-council/editor/EditorLessonItem.vue,vue,,,0,,none,none,none,none,none,,components/content-council/editor/EditorChapterItem.vue,1,true,USED,Imported by 1 files
components/content-council/editor/LessonEditorCanvas.vue,content-council/editor,components/content-council/editor/LessonEditorCanvas.vue,vue,,,0,,none,none,none,none,none,,pages/content-council/subjects/SubjectEditorPage.vue,1,true,USED,Imported by 1 files
components/content-council/editor/LessonEditorHeader.vue,content-council/editor,components/content-council/editor/LessonEditorHeader.vue,vue,,,0,,none,none,none,responsive-classes-detected,none,,components/content-council/editor/LessonEditorCanvas.vue,1,true,USED,Imported by 1 files
components/content-council/editor/LessonFormModal.vue,content-council/editor,components/content-council/editor/LessonFormModal.vue,vue,,,0,,none,none,none,none,none,,pages/content-council/subjects/SubjectEditorPage.vue,1,true,USED,Imported by 1 files
components/content-council/layout/ContentCouncilHeader.vue,content-council/layout,components/content-council/layout/ContentCouncilHeader.vue,vue,"defineProps({   isMobileDrawerOpen: {     type: Boolean,     default: false   } })",defineEmits(['update:isMobileDrawerOpen']),0,,aria-attributes-detected,none,none,responsive-classes-detected,none,,layouts/content-council/ContentCouncilLayout.vue,1,true,USED,Imported by 1 files
components/content-council/layout/ContentCouncilSidebar.vue,content-council/layout,components/content-council/layout/ContentCouncilSidebar.vue,vue,"defineProps({   isCollapsed: {     type: Boolean,     default: false   },   isMobileDrawerOpen: {     type: Boolean,     default: false   } })","defineEmits(['update:isCollapsed', 'update:isMobileDrawerOpen'])",0,,aria-attributes-detected,none,none,responsive-classes-detected,none,,layouts/content-council/ContentCouncilLayout.vue,1,true,USED,Imported by 1 files
components/content-council/preview/DocumentPreviewContent.vue,content-council/preview,components/content-council/preview/DocumentPreviewContent.vue,vue,"defineProps({   content: {     type: Object,     required: true   } })",,0,,none,none,none,responsive-classes-detected,none,,components/content-council/preview/PreviewContentRenderer.vue,1,true,USED,Imported by 1 files
components/content-council/preview/LessonNavigation.vue,content-council/preview,components/content-council/preview/LessonNavigation.vue,vue,"defineProps({   chapters: {     type: Array,     required: true   },   currentLessonId: {     type: [Number, String],     required: true   },   showDrafts: {     type: Boolean,     default: true   } }",defineEmits(['navigate']),0,,none,none,none,responsive-classes-detected,none,,pages/content-council/subjects/SubjectPreviewPage.vue,1,true,USED,Imported by 1 files
components/content-council/preview/PreviewContentRenderer.vue,content-council/preview,components/content-council/preview/PreviewContentRenderer.vue,vue,"defineProps({   lesson: {     type: Object,     required: true   },   showDrafts: {     type: Boolean,     default: true   } })",,0,,none,none,error-prop-detected,none,none,,pages/content-council/subjects/SubjectPreviewPage.vue,1,true,USED,Imported by 1 files
components/content-council/preview/PreviewCurriculumSidebar.vue,content-council/preview,components/content-council/preview/PreviewCurriculumSidebar.vue,vue,"defineProps({   chapters: {     type: Array,     required: true   },   currentLessonId: {     type: [Number, String],     default: null   },   showDrafts: {     type: Boolean,     default: true   } })",defineEmits(['select-lesson']),0,,none,none,none,none,none,,pages/content-council/subjects/SubjectPreviewPage.vue,1,true,USED,Imported by 1 files
components/content-council/preview/PreviewModeBanner.vue,content-council/preview,components/content-council/preview/PreviewModeBanner.vue,vue,"defineProps({   subjectId: {     type: [String, Number],     required: true   },   currentLessonId: {     type: [String, Number],     default: null   },   showDrafts: {     type: Boolean,     default:",defineEmits(['update:showDrafts']),0,,none,none,none,responsive-classes-detected,none,,pages/content-council/subjects/SubjectPreviewPage.vue,1,true,USED,Imported by 1 files
components/content-council/preview/QuizPreviewContent.vue,content-council/preview,components/content-council/preview/QuizPreviewContent.vue,vue,"defineProps({   content: {     type: Object,     required: true   } })",,0,,none,none,none,responsive-classes-detected,none,,components/content-council/preview/PreviewContentRenderer.vue,1,true,USED,Imported by 1 files
components/content-council/preview/SlideHtmlPreviewContent.vue,content-council/preview,components/content-council/preview/SlideHtmlPreviewContent.vue,vue,"defineProps({   content: {     type: Object,     required: true   } })",,0,,none,none,none,responsive-classes-detected,none,,components/content-council/preview/PreviewContentRenderer.vue,1,true,USED,Imported by 1 files
components/content-council/preview/TextPreviewContent.vue,content-council/preview,components/content-council/preview/TextPreviewContent.vue,vue,"defineProps({   content: {     type: Object,     required: true   } })",,0,,none,none,none,responsive-classes-detected,none,,components/content-council/preview/PreviewContentRenderer.vue,1,true,USED,Imported by 1 files
components/content-council/preview/VideoPreviewContent.vue,content-council/preview,components/content-council/preview/VideoPreviewContent.vue,vue,"defineProps({   content: {     type: Object,     required: true   } })",,0,,none,none,error-prop-detected,none,none,,components/content-council/preview/PreviewContentRenderer.vue,1,true,USED,Imported by 1 files
components/content-council/question-bank/DeleteQuestionDialog.vue,content-council/question-bank,components/content-council/question-bank/DeleteQuestionDialog.vue,vue,,"defineEmits(['update:isOpen', 'confirm'])",0,,aria-attributes-detected,none,none,responsive-classes-detected,none,,pages/content-council/question-bank/QuestionBankPage.vue,1,true,USED,Imported by 1 files
components/content-council/question-bank/ImportQuestionModal.vue,content-council/question-bank,components/content-council/question-bank/ImportQuestionModal.vue,vue,,"defineEmits(['update:isOpen', 'import'])",0,,none,none,none,responsive-classes-detected,none,,pages/content-council/question-bank/QuestionBankPage.vue,1,true,USED,Imported by 1 files
components/content-council/question-bank/QuestionChoiceEditor.vue,content-council/question-bank,components/content-council/question-bank/QuestionChoiceEditor.vue,vue,,"defineEmits(['update:choices', 'update:correctAnswerIds'])",0,,none,none,none,none,none,,components/content-council/question-bank/QuestionFormDrawer.vue,1,true,USED,Imported by 1 files
components/content-council/question-bank/QuestionDetailDrawer.vue,content-council/question-bank,components/content-council/question-bank/QuestionDetailDrawer.vue,vue,,"defineEmits(['update:isOpen', 'edit', 'duplicate', 'delete', 'toggleStatus'])",0,,none,none,none,responsive-classes-detected,none,,pages/content-council/question-bank/QuestionBankPage.vue,1,true,USED,Imported by 1 files
components/content-council/question-bank/QuestionFilterBar.vue,content-council/question-bank,components/content-council/question-bank/QuestionFilterBar.vue,vue,,"defineEmits(['update:filters', 'reset'])",0,,none,none,none,responsive-classes-detected,none,,pages/content-council/question-bank/QuestionBankPage.vue,1,true,USED,Imported by 1 files
components/content-council/question-bank/QuestionFormDrawer.vue,content-council/question-bank,components/content-council/question-bank/QuestionFormDrawer.vue,vue,,"defineEmits(['update:isOpen', 'save'])",0,,none,none,none,responsive-classes-detected,none,,pages/content-council/question-bank/QuestionBankPage.vue,1,true,USED,Imported by 1 files
components/content-council/question-bank/QuestionTable.vue,content-council/question-bank,components/content-council/question-bank/QuestionTable.vue,vue,,"defineEmits([   'update:selectedIds',   'update:currentPage',   'update:pageSize',   'view',   'edit',   'duplicate',   'delete',   'toggleStatus',   ",0,,none,none,none,responsive-classes-detected,none,,pages/content-council/question-bank/QuestionBankPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/BulkAddQuestionDialog.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/BulkAddQuestionDialog.vue,vue,,"defineEmits(['close', 'confirm'])",0,,none,none,none,none,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/PublishQuizFromBuilderDialog.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/PublishQuizFromBuilderDialog.vue,vue,,"defineEmits(['close', 'confirm'])",0,,none,none,none,none,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuestionBankBuilderFilter.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuestionBankBuilderFilter.vue,vue,,defineEmits(['filter-change']),0,,none,none,none,none,none,,components/content-council/quizzes/builder/QuestionBankPicker.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuestionBankBuilderItem.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuestionBankBuilderItem.vue,vue,,"defineEmits(['preview', 'add', 'toggle-select'])",0,,none,none,none,none,none,,components/content-council/quizzes/builder/QuestionBankPicker.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuestionBankPicker.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuestionBankPicker.vue,vue,,"defineEmits([   'preview',    'add-single',    'toggle-bulk-select',    'select-all-bulk',    'clear-bulk-select',    'bulk-add-click' ])",0,,none,none,none,responsive-classes-detected,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuestionPreviewDrawer.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuestionPreviewDrawer.vue,vue,,defineEmits(['close']),0,,none,none,none,responsive-classes-detected,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuestionScoreEditor.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuestionScoreEditor.vue,vue,,"defineEmits(['save', 'cancel'])",0,,none,none,error-prop-detected,none,none,,components/content-council/quizzes/builder/SelectedQuestionCard.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuizBuilderEmptyState.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuizBuilderEmptyState.vue,vue,,,0,,none,none,none,none,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuizBuilderHeader.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuizBuilderHeader.vue,vue,,"defineEmits(['save', 'publish'])",0,,none,none,none,responsive-classes-detected,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuizBuilderReadOnlyAlert.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuizBuilderReadOnlyAlert.vue,vue,,,0,,none,none,none,none,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuizBuilderSkeleton.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuizBuilderSkeleton.vue,vue,,,0,,none,none,none,responsive-classes-detected,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuizBuilderSummary.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuizBuilderSummary.vue,vue,,,0,,aria-attributes-detected,none,none,responsive-classes-detected,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/QuizStructureValidationPanel.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/QuizStructureValidationPanel.vue,vue,,,0,,none,none,none,none,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/RemoveQuestionDialog.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/RemoveQuestionDialog.vue,vue,,"defineEmits(['close', 'confirm'])",0,,none,none,none,none,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/SelectedQuestionCard.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/SelectedQuestionCard.vue,vue,,"defineEmits(['preview', 'update-score', 'move-up', 'move-down', 'remove'])",0,,none,none,none,none,none,,components/content-council/quizzes/builder/SelectedQuestionPanel.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/builder/SelectedQuestionPanel.vue,content-council/quizzes/builder,components/content-council/quizzes/builder/SelectedQuestionPanel.vue,vue,,"defineEmits(['preview', 'update-score', 'move-up', 'move-down', 'remove'])",0,,none,none,none,none,none,,pages/content-council/quizzes/QuizBuilderPage.vue,1,true,USED,Imported by 1 files
components/content-council/quizzes/form/QuizAttemptsSection.vue,content-council/quizzes/form,components/content-council/quizzes/form/QuizAttemptsSection.vue,vue,,defineEmits(['update:modelValue']),0,,none,none,none,responsive-classes-detected,none,,pages/content-council/quizzes/QuizFormPage.vue,1,true,USED,Imported by 1 files
